Confirmation ID,WIID,Tax ID
df7f6ed09a0a0999fd68c1ca242de7c4,522404,DE767565
7cc901406b7ebd3fe0b280634b216f72,477334,RU567434
c33649af8eea58873ea8655ce2761250,900254,RO123456
dabfcd402758bf07bed318bb989cf103,300524,DE763212
9b62cf9339f81e5873ab76473f8e7e8f,150814,RO345879
279c793d20f71fed35abece6bb463137,651214,FR322345
24f56ee3f6570f48c0af50a497780817,434094,IT213456
4c939257b0e58de79a62463f717c59c5,664984,RO892123
c0220b911c1819958e99dcbf00f086bd,403234,RO874232
0868bf7f965108db281e5209df118e6f,835144,RO657483
ad33fedf717a55f6bcf0d2f6f7c81ab9,177644,IT231232
7a595ef0df878d8809b36a299a4c17cd,636854,FR065748
31c0e19c99d17e8139170e46c4153d5d,499394,IT145632
e5e7f420d0d6037a3557721cdcfd555a,150644,IT754893
e459488695b1867c2bcad43d3b8ba7cd,258974,FR453231
522085adfd2555b79080ed5e31440eb5,246854,RO212121
84c82f20480d8a3a468185e960faa999,734864,RO125678
b19b3179e424499cd2bf321920b789c4,413724,DE987564
708aecc958fd0340bd6f6016928b41a0,733464,RO874231
